context_id	context_name	context_type	n_genes_total	n_genes_kirc	in_subgraph
Biological Process::GO:0001934	positive regulation of protein phosphorylation	Biological Process	999	998	True
Biological Process::GO:0048646	anatomical structure formation involved in morphogenesis	Biological Process	998	998	True
Biological Process::GO:0055114	oxidation-reduction process	Biological Process	999	998	True
Biological Process::GO:0044712	single-organism catabolic process	Biological Process	987	987	True
Biological Process::GO:1902533	positive regulation of intracellular signal transduction	Biological Process	988	987	True
Biological Process::GO:0050776	regulation of immune response	Biological Process	991	986	True
Biological Process::GO:0061024	membrane organization	Biological Process	985	985	True
Biological Process::GO:1901701	cellular response to oxygen-containing compound	Biological Process	975	974	True
Biological Process::GO:0032990	cell part morphogenesis	Biological Process	973	973	True
Biological Process::GO:0009790	embryo development	Biological Process	965	965	True
Biological Process::GO:0032880	regulation of protein localization	Biological Process	967	965	True
Biological Process::GO:0051276	chromosome organization	Biological Process	957	955	True
Biological Process::GO:0048858	cell projection morphogenesis	Biological Process	953	953	True
Biological Process::GO:0019752	carboxylic acid metabolic process	Biological Process	945	943	True
Biological Process::GO:0010243	response to organonitrogen compound	Biological Process	940	940	True
Biological Process::GO:0006468	protein phosphorylation	Biological Process	934	934	True
Biological Process::GO:0022603	regulation of anatomical structure morphogenesis	Biological Process	923	922	True
Biological Process::GO:0044255	cellular lipid metabolic process	Biological Process	921	920	True
Biological Process::GO:0051050	positive regulation of transport	Biological Process	922	920	True
Biological Process::GO:0060548	negative regulation of cell death	Biological Process	923	920	True
Biological Process::GO:0043549	regulation of kinase activity	Biological Process	918	917	True
Biological Process::GO:0044703	multi-organism reproductive process	Biological Process	912	911	True
Biological Process::GO:0007417	central nervous system development	Biological Process	910	910	True
Biological Process::GO:0009057	macromolecule catabolic process	Biological Process	910	910	True
Biological Process::GO:0009887	organ morphogenesis	Biological Process	894	893	True
Biological Process::GO:0007600	sensory perception	Biological Process	891	887	True
Biological Process::GO:1902580	single-organism cellular localization	Biological Process	884	884	True
Biological Process::GO:0032101	regulation of response to external stimulus	Biological Process	884	882	True
Biological Process::GO:0048878	chemical homeostasis	Biological Process	882	880	True
Biological Process::GO:0005975	carbohydrate metabolic process	Biological Process	882	879	True
Biological Process::GO:0002684	positive regulation of immune system process	Biological Process	880	878	True
Biological Process::GO:0009607	response to biotic stimulus	Biological Process	877	875	True
Biological Process::GO:0031175	neuron projection development	Biological Process	872	872	True
Biological Process::GO:0007267	cell-cell signaling	Biological Process	869	869	True
Biological Process::GO:0045859	regulation of protein kinase activity	Biological Process	870	869	True
Biological Process::GO:0016482	cytoplasmic transport	Biological Process	867	867	True
Biological Process::GO:0000904	cell morphogenesis involved in differentiation	Biological Process	861	861	True
Biological Process::GO:0014070	response to organic cyclic compound	Biological Process	861	860	True
Biological Process::GO:0048870	cell motility	Biological Process	860	859	True
Biological Process::GO:0051674	localization of cell	Biological Process	860	859	True
Biological Process::GO:0070647	protein modification by small protein conjugation or removal	Biological Process	858	857	True
Biological Process::GO:0043069	negative regulation of programmed cell death	Biological Process	859	856	True
Biological Process::GO:0043066	negative regulation of apoptotic process	Biological Process	850	847	True
Biological Process::GO:0043207	response to external biotic stimulus	Biological Process	847	845	True
Biological Process::GO:0051707	response to other organism	Biological Process	847	845	True
Biological Process::GO:0007010	cytoskeleton organization	Biological Process	842	841	True
Biological Process::GO:0043086	negative regulation of catalytic activity	Biological Process	840	838	True
Biological Process::GO:0072358	cardiovascular system development	Biological Process	838	838	True
Biological Process::GO:0072359	circulatory system development	Biological Process	838	838	True
Biological Process::GO:0051345	positive regulation of hydrolase activity	Biological Process	837	836	True
Biological Process::GO:0008284	positive regulation of cell proliferation	Biological Process	833	832	True
Biological Process::GO:0033993	response to lipid	Biological Process	833	832	True
Biological Process::GO:0060284	regulation of cell development	Biological Process	832	831	True
Biological Process::GO:0045597	positive regulation of cell differentiation	Biological Process	829	829	True
Biological Process::GO:0070201	regulation of establishment of protein localization	Biological Process	828	826	True
Biological Process::GO:0019637	organophosphate metabolic process	Biological Process	820	820	True
Biological Process::GO:0051093	negative regulation of developmental process	Biological Process	809	807	True
Biological Process::GO:0000278	mitotic cell cycle	Biological Process	805	805	True
Biological Process::GO:0007264	small GTPase mediated signal transduction	Biological Process	805	805	True
Biological Process::GO:0034097	response to cytokine	Biological Process	805	802	True
Biological Process::GO:0070848	response to growth factor	Biological Process	796	796	True
Biological Process::GO:0006935	chemotaxis	Biological Process	795	794	True
Biological Process::GO:0042330	taxis	Biological Process	795	794	True
Biological Process::GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	Biological Process	793	793	True
Biological Process::GO:0044802	single-organism membrane organization	Biological Process	792	792	True
Biological Process::GO:0031347	regulation of defense response	Biological Process	790	788	True
Biological Process::GO:0043408	regulation of MAPK cascade	Biological Process	786	785	True
Biological Process::GO:0034220	ion transmembrane transport	Biological Process	782	782	True
Biological Process::GO:0006812	cation transport	Biological Process	781	781	True
Biological Process::GO:0032504	multicellular organism reproduction	Biological Process	781	780	True
Biological Process::GO:0016477	cell migration	Biological Process	779	778	True
Biological Process::GO:0006366	transcription from RNA polymerase II promoter	Biological Process	776	775	True
Biological Process::GO:0044265	cellular macromolecule catabolic process	Biological Process	774	774	True
Biological Process::GO:0071363	cellular response to growth factor stimulus	Biological Process	771	771	True
Biological Process::GO:0006259	DNA metabolic process	Biological Process	772	769	True
Biological Process::GO:0009611	response to wounding	Biological Process	765	765	True
Biological Process::GO:0006396	RNA processing	Biological Process	760	759	True
Biological Process::GO:0040012	regulation of locomotion	Biological Process	759	759	True
Biological Process::GO:0048609	multicellular organismal reproductive process	Biological Process	758	757	True
Biological Process::GO:0051270	regulation of cellular component movement	Biological Process	757	757	True
Biological Process::GO:0051223	regulation of protein transport	Biological Process	756	754	True
Biological Process::GO:0000122	negative regulation of transcription from RNA polymerase II promoter	Biological Process	749	748	True
Biological Process::GO:0048812	neuron projection morphogenesis	Biological Process	745	745	True
Biological Process::GO:0044403	symbiosis, encompassing mutualism through parasitism	Biological Process	744	744	True
Biological Process::GO:0044419	interspecies interaction between organisms	Biological Process	744	744	True
Biological Process::GO:0051960	regulation of nervous system development	Biological Process	744	744	True
Biological Process::GO:0060322	head development	Biological Process	739	739	True
Biological Process::GO:0019953	sexual reproduction	Biological Process	739	738	True
Biological Process::GO:0006974	cellular response to DNA damage stimulus	Biological Process	737	736	True
Biological Process::GO:0032446	protein modification by small protein conjugation	Biological Process	735	734	True
Biological Process::GO:1903047	mitotic cell cycle process	Biological Process	722	722	True
Biological Process::GO:0048667	cell morphogenesis involved in neuron differentiation	Biological Process	720	720	True
Biological Process::GO:0050878	regulation of body fluid levels	Biological Process	720	720	True
Biological Process::GO:0044087	regulation of cellular component biogenesis	Biological Process	719	719	True
Biological Process::GO:1901137	carbohydrate derivative biosynthetic process	Biological Process	719	718	True
Biological Process::GO:0043603	cellular amide metabolic process	Biological Process	713	712	True
Biological Process::GO:0030162	regulation of proteolysis	Biological Process	708	708	True
Biological Process::GO:0051347	positive regulation of transferase activity	Biological Process	708	708	True
Biological Process::GO:0044764	multi-organism cellular process	Biological Process	702	702	True
Biological Process::GO:2000145	regulation of cell motility	Biological Process	700	700	True
Biological Process::GO:0061564	axon development	Biological Process	699	699	True
Biological Process::GO:0071345	cellular response to cytokine stimulus	Biological Process	702	699	True
Biological Process::GO:0016032	viral process	Biological Process	698	698	True
Biological Process::GO:0007420	brain development	Biological Process	696	696	True
Biological Process::GO:0032870	cellular response to hormone stimulus	Biological Process	695	695	True
Biological Process::GO:0044723	single-organism carbohydrate metabolic process	Biological Process	697	694	True
Biological Process::GO:0051606	detection of stimulus	Biological Process	698	693	True
Biological Process::GO:0051046	regulation of secretion	Biological Process	690	688	True
Biological Process::GO:0019725	cellular homeostasis	Biological Process	687	687	True
Biological Process::GO:0009894	regulation of catabolic process	Biological Process	685	685	True
Biological Process::GO:0008283	cell proliferation	Biological Process	684	684	True
Biological Process::GO:1901699	cellular response to nitrogen compound	Biological Process	684	684	True
Biological Process::GO:0042060	wound healing	Biological Process	681	681	True
Biological Process::GO:0034622	cellular macromolecular complex assembly	Biological Process	680	679	True
Biological Process::GO:0006325	chromatin organization	Biological Process	676	674	True
Biological Process::GO:0007409	axonogenesis	Biological Process	674	674	True
Biological Process::GO:0006886	intracellular protein transport	Biological Process	673	673	True
Biological Process::GO:0001775	cell activation	Biological Process	668	667	True
Biological Process::GO:0030334	regulation of cell migration	Biological Process	661	661	True
Biological Process::GO:0008285	negative regulation of cell proliferation	Biological Process	659	655	True
Biological Process::GO:0050767	regulation of neurogenesis	Biological Process	655	655	True
Biological Process::GO:0022411	cellular component disassembly	Biological Process	644	644	True
Biological Process::GO:0080135	regulation of cellular response to stress	Biological Process	645	644	True
Biological Process::GO:0040008	regulation of growth	Biological Process	641	641	True
Biological Process::GO:0030155	regulation of cell adhesion	Biological Process	636	634	True
Biological Process::GO:0033674	positive regulation of kinase activity	Biological Process	632	632	True
Biological Process::GO:0071417	cellular response to organonitrogen compound	Biological Process	632	632	True
Biological Process::GO:1903530	regulation of secretion by cell	Biological Process	633	631	True
Biological Process::GO:0031400	negative regulation of protein modification process	Biological Process	630	629	True
Biological Process::GO:0003006	developmental process involved in reproduction	Biological Process	628	628	True
Biological Process::GO:0098609	cell-cell adhesion	Biological Process	626	626	True
Biological Process::GO:0010942	positive regulation of cell death	Biological Process	624	624	True
Biological Process::GO:0009792	embryo development ending in birth or egg hatching	Biological Process	622	622	True
Biological Process::GO:0043009	chordate embryonic development	Biological Process	616	616	True
Biological Process::GO:0007005	mitochondrion organization	Biological Process	616	615	True
Biological Process::GO:0016567	protein ubiquitination	Biological Process	615	614	True
Biological Process::GO:0032386	regulation of intracellular transport	Biological Process	614	614	True
Biological Process::GO:0045596	negative regulation of cell differentiation	Biological Process	614	612	True
Biological Process::GO:0002520	immune system development	Biological Process	608	608	True
Biological Process::GO:0051129	negative regulation of cellular component organization	Biological Process	608	608	True
Biological Process::GO:0071900	regulation of protein serine/threonine kinase activity	Biological Process	608	608	True
Biological Process::GO:0045860	positive regulation of protein kinase activity	Biological Process	607	607	True
Biological Process::GO:0035295	tube development	Biological Process	604	604	True
Biological Process::GO:0043410	positive regulation of MAPK cascade	Biological Process	602	601	True
Biological Process::GO:1901652	response to peptide	Biological Process	601	601	True
Biological Process::GO:0007276	gamete generation	Biological Process	599	598	True
Biological Process::GO:0043269	regulation of ion transport	Biological Process	592	592	True
Biological Process::GO:0043068	positive regulation of programmed cell death	Biological Process	591	591	True
Biological Process::GO:0016071	mRNA metabolic process	Biological Process	589	588	True
Biological Process::GO:0043065	positive regulation of apoptotic process	Biological Process	586	586	True
Biological Process::GO:0048729	tissue morphogenesis	Biological Process	583	583	True
Biological Process::GO:0030001	metal ion transport	Biological Process	579	579	True
Biological Process::GO:0050778	positive regulation of immune response	Biological Process	581	579	True
Biological Process::GO:0048534	hematopoietic or lymphoid organ development	Biological Process	578	578	True
Biological Process::GO:0001817	regulation of cytokine production	Biological Process	579	577	True
Biological Process::GO:0031329	regulation of cellular catabolic process	Biological Process	576	576	True
Biological Process::GO:0050801	ion homeostasis	Biological Process	575	575	True
Biological Process::GO:0048598	embryonic morphogenesis	Biological Process	573	573	True
Biological Process::GO:0098660	inorganic ion transmembrane transport	Biological Process	570	570	True
Biological Process::GO:0030163	protein catabolic process	Biological Process	569	569	True
Biological Process::GO:0043434	response to peptide hormone	Biological Process	567	567	True
Biological Process::GO:0097485	neuron projection guidance	Biological Process	567	567	True
Biological Process::GO:0007411	axon guidance	Biological Process	566	566	True
Biological Process::GO:0046903	secretion	Biological Process	565	565	True
Biological Process::GO:0033365	protein localization to organelle	Biological Process	564	564	True
Biological Process::GO:0002764	immune response-regulating signaling pathway	Biological Process	565	563	True
Biological Process::GO:0010638	positive regulation of organelle organization	Biological Process	563	563	True
Biological Process::GO:0043087	regulation of GTPase activity	Biological Process	561	560	True
Biological Process::GO:0055082	cellular chemical homeostasis	Biological Process	559	559	True
Biological Process::GO:0006518	peptide metabolic process	Biological Process	558	557	True
Biological Process::GO:0010564	regulation of cell cycle process	Biological Process	552	552	True
Biological Process::GO:0098655	cation transmembrane transport	Biological Process	547	547	True
Biological Process::GO:0098771	inorganic ion homeostasis	Biological Process	547	547	True
Biological Process::GO:1903827	regulation of cellular protein localization	Biological Process	547	547	True
Biological Process::GO:0007610	behavior	Biological Process	545	545	True
Biological Process::GO:0045664	regulation of neuron differentiation	Biological Process	544	544	True
Biological Process::GO:0010563	negative regulation of phosphorus metabolic process	Biological Process	544	543	True
Biological Process::GO:0019221	cytokine-mediated signaling pathway	Biological Process	546	543	True
Biological Process::GO:0045936	negative regulation of phosphate metabolic process	Biological Process	544	543	True
Biological Process::GO:0008610	lipid biosynthetic process	Biological Process	542	542	True
Biological Process::GO:0007599	hemostasis	Biological Process	534	534	True
Biological Process::GO:0055080	cation homeostasis	Biological Process	534	534	True
Biological Process::GO:0007268	synaptic transmission	Biological Process	531	531	True
Biological Process::GO:0050817	coagulation	Biological Process	531	531	True
Biological Process::GO:0099536	synaptic signaling	Biological Process	531	531	True
Biological Process::GO:0099537	trans-synaptic signaling	Biological Process	531	531	True
Biological Process::GO:0007596	blood coagulation	Biological Process	529	529	True
Biological Process::GO:0007423	sensory organ development	Biological Process	528	528	True
Biological Process::GO:0016568	chromatin modification	Biological Process	525	525	True
Biological Process::GO:0030097	hemopoiesis	Biological Process	523	523	True
Biological Process::GO:0030855	epithelial cell differentiation	Biological Process	520	520	True
Biological Process::GO:0044257	cellular protein catabolic process	Biological Process	520	520	True
Biological Process::GO:0031344	regulation of cell projection organization	Biological Process	518	518	True
Biological Process::GO:0009617	response to bacterium	Biological Process	518	516	True
Biological Process::GO:0032787	monocarboxylic acid metabolic process	Biological Process	517	515	True
Biological Process::GO:0044057	regulation of system process	Biological Process	515	515	True
Biological Process::GO:0043604	amide biosynthetic process	Biological Process	514	514	True
Biological Process::GO:0007017	microtubule-based process	Biological Process	513	513	True
Biological Process::GO:0055086	nucleobase-containing small molecule metabolic process	Biological Process	510	510	True
Biological Process::GO:0043547	positive regulation of GTPase activity	Biological Process	510	509	True
Biological Process::GO:0009100	glycoprotein metabolic process	Biological Process	509	508	True
Biological Process::GO:0022604	regulation of cell morphogenesis	Biological Process	508	507	True
Biological Process::GO:0007507	heart development	Biological Process	503	503	True
Biological Process::GO:0051603	proteolysis involved in cellular protein catabolic process	Biological Process	503	503	True
Biological Process::GO:0009314	response to radiation	Biological Process	499	499	True
Biological Process::GO:0001944	vasculature development	Biological Process	497	497	True
Biological Process::GO:1904951	positive regulation of establishment of protein localization	Biological Process	499	497	True
Biological Process::GO:0006897	endocytosis	Biological Process	492	492	True
Biological Process::GO:0006820	anion transport	Biological Process	490	490	True
Biological Process::GO:0010817	regulation of hormone levels	Biological Process	493	490	True
Biological Process::GO:1901615	organic hydroxy compound metabolic process	Biological Process	490	490	True
Biological Process::GO:0010035	response to inorganic substance	Biological Process	490	489	True
Biological Process::GO:0070925	organelle assembly	Biological Process	489	489	True
Biological Process::GO:0071705	nitrogen compound transport	Biological Process	489	489	True
Biological Process::GO:0098662	inorganic cation transmembrane transport	Biological Process	488	488	True
Biological Process::GO:0007346	regulation of mitotic cell cycle	Biological Process	487	487	True
Biological Process::GO:0043900	regulation of multi-organism process	Biological Process	487	487	True
Biological Process::GO:0048232	male gamete generation	Biological Process	488	487	True
Biological Process::GO:0048285	organelle fission	Biological Process	487	487	True
Biological Process::GO:0098542	defense response to other organism	Biological Process	487	487	True
Biological Process::GO:0007283	spermatogenesis	Biological Process	487	486	True
Biological Process::GO:0055065	metal ion homeostasis	Biological Process	485	485	True
Biological Process::GO:0006281	DNA repair	Biological Process	481	480	True
Biological Process::GO:1901653	cellular response to peptide	Biological Process	480	480	True
Biological Process::GO:0006873	cellular ion homeostasis	Biological Process	478	478	True
Biological Process::GO:0043687	post-translational protein modification	Biological Process	475	474	True
Biological Process::GO:0001501	skeletal system development	Biological Process	474	473	True
Biological Process::GO:0001568	blood vessel development	Biological Process	473	473	True
Biological Process::GO:0098602	single organism cell adhesion	Biological Process	473	473	True
Biological Process::GO:0050906	detection of stimulus involved in sensory perception	Biological Process	475	472	True
Biological Process::GO:0010720	positive regulation of cell development	Biological Process	470	470	True
Biological Process::GO:0043632	modification-dependent macromolecule catabolic process	Biological Process	470	470	True
Biological Process::GO:0007606	sensory perception of chemical stimulus	Biological Process	472	469	True
Biological Process::GO:0045786	negative regulation of cell cycle	Biological Process	469	469	True
Biological Process::GO:0050865	regulation of cell activation	Biological Process	471	469	True
Biological Process::GO:0043405	regulation of MAP kinase activity	Biological Process	468	468	True
Biological Process::GO:0002768	immune response-regulating cell surface receptor signaling pathway	Biological Process	467	465	True
Biological Process::GO:0030003	cellular cation homeostasis	Biological Process	465	465	True
Biological Process::GO:0051301	cell division	Biological Process	465	465	True
Biological Process::GO:0010256	endomembrane system organization	Biological Process	464	464	True
Biological Process::GO:0071375	cellular response to peptide hormone stimulus	Biological Process	464	464	True
Biological Process::GO:0019941	modification-dependent protein catabolic process	Biological Process	462	462	True
Biological Process::GO:0061061	muscle structure development	Biological Process	462	462	True
Biological Process::GO:0090066	regulation of anatomical structure size	Biological Process	463	462	True
Biological Process::GO:0000280	nuclear division	Biological Process	461	461	True
Biological Process::GO:0051051	negative regulation of transport	Biological Process	461	460	True
Biological Process::GO:0032147	activation of protein kinase activity	Biological Process	459	459	True
Biological Process::GO:0006954	inflammatory response	Biological Process	461	458	True
Biological Process::GO:0009101	glycoprotein biosynthetic process	Biological Process	459	458	True
Biological Process::GO:0002252	immune effector process	Biological Process	459	457	True
Biological Process::GO:0032940	secretion by cell	Biological Process	457	457	True
Biological Process::GO:0030029	actin filament-based process	Biological Process	457	456	True
Biological Process::GO:1903649	regulation of cytoplasmic transport	Biological Process	456	456	True
Biological Process::GO:0009593	detection of chemical stimulus	Biological Process	458	455	True
Biological Process::GO:0034660	ncRNA metabolic process	Biological Process	455	455	True
Biological Process::GO:0006511	ubiquitin-dependent protein catabolic process	Biological Process	454	454	True
Biological Process::GO:0016337	single organismal cell-cell adhesion	Biological Process	451	451	True
Biological Process::GO:0006753	nucleoside phosphate metabolic process	Biological Process	450	450	True
Biological Process::GO:0009991	response to extracellular stimulus	Biological Process	448	448	True
Biological Process::GO:0006520	cellular amino acid metabolic process	Biological Process	446	446	True
Biological Process::GO:0032844	regulation of homeostatic process	Biological Process	448	446	True
Biological Process::GO:0007389	pattern specification process	Biological Process	444	444	True
Biological Process::GO:0043043	peptide biosynthetic process	Biological Process	444	444	True
Biological Process::GO:0009117	nucleotide metabolic process	Biological Process	443	443	True
Biological Process::GO:0051222	positive regulation of protein transport	Biological Process	445	443	True
Biological Process::GO:0002009	morphogenesis of an epithelium	Biological Process	442	442	True
Biological Process::GO:0010608	posttranscriptional regulation of gene expression	Biological Process	441	441	True
Biological Process::GO:1902532	negative regulation of intracellular signal transduction	Biological Process	442	441	True
Biological Process::GO:0044283	small molecule biosynthetic process	Biological Process	440	440	True
Biological Process::GO:0090407	organophosphate biosynthetic process	Biological Process	438	438	True
Biological Process::GO:0048545	response to steroid hormone	Biological Process	438	437	True
Biological Process::GO:0048568	embryonic organ development	Biological Process	436	436	True
Biological Process::GO:0002253	activation of immune response	Biological Process	437	435	True
Biological Process::GO:0002694	regulation of leukocyte activation	Biological Process	437	435	True
Biological Process::GO:0051962	positive regulation of nervous system development	Biological Process	435	435	True
Biological Process::GO:0061458	reproductive system development	Biological Process	435	435	True
Biological Process::GO:0051259	protein oligomerization	Biological Process	437	434	True
Biological Process::GO:0040007	growth	Biological Process	432	432	True
Biological Process::GO:0042493	response to drug	Biological Process	431	431	True
Biological Process::GO:0048608	reproductive structure development	Biological Process	431	431	True
Biological Process::GO:0048732	gland development	Biological Process	430	430	True
Biological Process::GO:0034762	regulation of transmembrane transport	Biological Process	427	427	True
Biological Process::GO:0045321	leukocyte activation	Biological Process	428	427	True
Biological Process::GO:0006875	cellular metal ion homeostasis	Biological Process	426	426	True
Biological Process::GO:0006412	translation	Biological Process	422	422	True
Biological Process::GO:0015672	monovalent inorganic cation transport	Biological Process	422	422	True
Biological Process::GO:0042326	negative regulation of phosphorylation	Biological Process	423	422	True
Biological Process::GO:1901361	organic cyclic compound catabolic process	Biological Process	422	422	True
Biological Process::GO:0032868	response to insulin	Biological Process	421	421	True
Biological Process::GO:0031667	response to nutrient levels	Biological Process	419	419	True
Biological Process::GO:0002697	regulation of immune effector process	Biological Process	418	418	True
Biological Process::GO:0040017	positive regulation of locomotion	Biological Process	418	418	True
Biological Process::GO:0050907	detection of chemical stimulus involved in sensory perception	Biological Process	421	418	True
Biological Process::GO:0006605	protein targeting	Biological Process	415	415	True
Biological Process::GO:0006397	mRNA processing	Biological Process	414	413	True
Biological Process::GO:0044708	single-organism behavior	Biological Process	412	412	True
Biological Process::GO:0051272	positive regulation of cellular component movement	Biological Process	412	412	True
Biological Process::GO:0034765	regulation of ion transmembrane transport	Biological Process	411	411	True
Biological Process::GO:0051493	regulation of cytoskeleton organization	Biological Process	411	410	True
Biological Process::GO:0023014	signal transduction by protein phosphorylation	Biological Process	409	409	True
Biological Process::GO:0070085	glycosylation	Biological Process	409	408	True
Biological Process::GO:0071407	cellular response to organic cyclic compound	Biological Process	407	407	True
Biological Process::GO:0031349	positive regulation of defense response	Biological Process	406	405	True
Biological Process::GO:0006486	protein glycosylation	Biological Process	405	404	True
Biological Process::GO:0043413	macromolecule glycosylation	Biological Process	405	404	True
Biological Process::GO:0050708	regulation of protein secretion	Biological Process	406	404	True
Biological Process::GO:0051640	organelle localization	Biological Process	404	404	True
Biological Process::GO:0007608	sensory perception of smell	Biological Process	405	402	True
Biological Process::GO:0045088	regulation of innate immune response	Biological Process	402	402	True
Biological Process::GO:0071396	cellular response to lipid	Biological Process	402	402	True
Biological Process::GO:0051346	negative regulation of hydrolase activity	Biological Process	401	401	True
Biological Process::GO:2000147	positive regulation of cell motility	Biological Process	401	401	True
Biological Process::GO:1903034	regulation of response to wounding	Biological Process	402	400	True
Biological Process::GO:0006091	generation of precursor metabolites and energy	Biological Process	399	399	True
Biological Process::GO:0038179	neurotrophin signaling pathway	Biological Process	398	398	True
Biological Process::GO:0048011	neurotrophin TRK receptor signaling pathway	Biological Process	395	395	True
Biological Process::GO:0042176	regulation of protein catabolic process	Biological Process	394	394	True
Biological Process::GO:0060627	regulation of vesicle-mediated transport	Biological Process	394	394	True
Biological Process::GO:0010975	regulation of neuron projection development	Biological Process	392	392	True
Biological Process::GO:0052547	regulation of peptidase activity	Biological Process	392	392	True
Biological Process::GO:0019439	aromatic compound catabolic process	Biological Process	391	391	True
Biological Process::GO:0030036	actin cytoskeleton organization	Biological Process	392	391	True
Biological Process::GO:0030335	positive regulation of cell migration	Biological Process	389	389	True
Biological Process::GO:0002757	immune response-activating signal transduction	Biological Process	390	388	True
Biological Process::GO:0009896	positive regulation of catabolic process	Biological Process	387	387	True
Biological Process::GO:0001558	regulation of cell growth	Biological Process	386	386	True
Biological Process::GO:0001819	positive regulation of cytokine production	Biological Process	385	385	True
Biological Process::GO:0001933	negative regulation of protein phosphorylation	Biological Process	386	385	True
Biological Process::GO:0044089	positive regulation of cellular component biogenesis	Biological Process	385	385	True
Biological Process::GO:0006914	autophagy	Biological Process	384	384	True
Biological Process::GO:0022407	regulation of cell-cell adhesion	Biological Process	386	384	True
Biological Process::GO:0030900	forebrain development	Biological Process	381	381	True
Biological Process::GO:0044270	cellular nitrogen compound catabolic process	Biological Process	381	381	True
Biological Process::GO:0046700	heterocycle catabolic process	Biological Process	381	381	True
Biological Process::GO:2001233	regulation of apoptotic signaling pathway	Biological Process	381	380	True
Biological Process::GO:0051249	regulation of lymphocyte activation	Biological Process	381	379	True
Biological Process::GO:0072657	protein localization to membrane	Biological Process	379	379	True
Biological Process::GO:0033157	regulation of intracellular protein transport	Biological Process	378	378	True
Biological Process::GO:0048514	blood vessel morphogenesis	Biological Process	378	378	True
Biological Process::GO:0015711	organic anion transport	Biological Process	377	377	True
Biological Process::GO:0045785	positive regulation of cell adhesion	Biological Process	378	376	True
Biological Process::GO:0050911	detection of chemical stimulus involved in sensory perception of smell	Biological Process	378	375	True
Biological Process::GO:0050769	positive regulation of neurogenesis	Biological Process	374	374	True
Biological Process::GO:0002683	negative regulation of immune system process	Biological Process	374	372	True
Biological Process::GO:0052548	regulation of endopeptidase activity	Biological Process	372	372	True
Biological Process::GO:0072521	purine-containing compound metabolic process	Biological Process	372	372	True
Biological Process::GO:0003013	circulatory system process	Biological Process	372	371	True
Biological Process::GO:0008015	blood circulation	Biological Process	369	368	True
Biological Process::GO:0043062	extracellular structure organization	Biological Process	368	368	True
Biological Process::GO:0072594	establishment of protein localization to organelle	Biological Process	368	368	True
Biological Process::GO:0097190	apoptotic signaling pathway	Biological Process	369	368	True
Biological Process::GO:0030198	extracellular matrix organization	Biological Process	367	367	True
Biological Process::GO:0032869	cellular response to insulin stimulus	Biological Process	366	366	True
Biological Process::GO:0000165	MAPK cascade	Biological Process	365	365	True
Biological Process::GO:0009416	response to light stimulus	Biological Process	365	365	True
Biological Process::GO:0051047	positive regulation of secretion	Biological Process	367	365	True
Biological Process::GO:0051090	regulation of sequence-specific DNA binding transcription factor activity	Biological Process	365	365	True
Biological Process::GO:0001701	in utero embryonic development	Biological Process	363	363	True
Biological Process::GO:0097305	response to alcohol	Biological Process	363	363	True
Biological Process::GO:0035239	tube morphogenesis	Biological Process	362	362	True
Biological Process::GO:0032388	positive regulation of intracellular transport	Biological Process	361	361	True
Biological Process::GO:0006790	sulfur compound metabolic process	Biological Process	361	360	True
Biological Process::GO:0006979	response to oxidative stress	Biological Process	359	358	True
Biological Process::GO:0022613	ribonucleoprotein complex biogenesis	Biological Process	358	358	True
Biological Process::GO:0045862	positive regulation of proteolysis	Biological Process	358	358	True
Biological Process::GO:0051348	negative regulation of transferase activity	Biological Process	359	357	True
Biological Process::GO:0038093	Fc receptor signaling pathway	Biological Process	356	356	True
Biological Process::GO:0042391	regulation of membrane potential	Biological Process	354	354	True
Biological Process::GO:0043254	regulation of protein complex assembly	Biological Process	354	354	True
Biological Process::GO:0046649	lymphocyte activation	Biological Process	355	354	True
Biological Process::GO:0048589	developmental growth	Biological Process	353	353	True
Biological Process::GO:0007067	mitotic nuclear division	Biological Process	351	351	True
Biological Process::GO:0008380	RNA splicing	Biological Process	351	350	True
Biological Process::GO:0045861	negative regulation of proteolysis	Biological Process	350	350	True
Biological Process::GO:0034248	regulation of cellular amide metabolic process	Biological Process	349	349	True
Biological Process::GO:0001654	eye development	Biological Process	348	348	True
Biological Process::GO:0046486	glycerolipid metabolic process	Biological Process	348	348	True
Biological Process::GO:0006066	alcohol metabolic process	Biological Process	347	347	True
Biological Process::GO:1903829	positive regulation of cellular protein localization	Biological Process	347	347	True
Biological Process::GO:0000226	microtubule cytoskeleton organization	Biological Process	345	345	True
Biological Process::GO:0072507	divalent inorganic cation homeostasis	Biological Process	344	344	True
Biological Process::GO:0016569	covalent chromatin modification	Biological Process	343	343	True
Biological Process::GO:1901565	organonitrogen compound catabolic process	Biological Process	342	342	True
Biological Process::GO:1901657	glycosyl compound metabolic process	Biological Process	342	342	True
Biological Process::GO:0010038	response to metal ion	Biological Process	339	339	True
Biological Process::GO:1901605	alpha-amino acid metabolic process	Biological Process	338	338	True
Biological Process::GO:0045787	positive regulation of cell cycle	Biological Process	337	337	True
Biological Process::GO:0034655	nucleobase-containing compound catabolic process	Biological Process	336	336	True
Biological Process::GO:0043623	cellular protein complex assembly	Biological Process	337	336	True
Biological Process::GO:0051052	regulation of DNA metabolic process	Biological Process	335	335	True
Biological Process::GO:0015980	energy derivation by oxidation of organic compounds	Biological Process	334	334	True
