hetionet_gene_id	hetionet_entrez_id	hetionet_name	current_entrez_id	current_hgnc_symbol	original_ensembl_id	gene_type	all_samples_zero	mapping_status
Gene::8688	8688	KRT37	8688	KRT37	ENSG00000108417.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::51174	51174	TUBD1	51174	TUBD1	ENSG00000108423.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::3837	3837	KPNB1	3837	KPNB1	ENSG00000108424.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::9570	9570	GOSR2	9570	GOSR2	ENSG00000108433.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::55163	55163	PNPO	55163	PNPO	ENSG00000108439.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::6198	6198	RPS6KB1	6198	RPS6KB1	ENSG00000108443.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::147166	147166	TRIM16L	147166	TRIM16L	ENSG00000108448.21	protein_coding	False	mapped_by_hgnc_entrez
Gene::80279	80279	CDK5RAP3	80279	CDK5RAP3	ENSG00000108465.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::10951	10951	CBX1	10951	CBX1	ENSG00000108468.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::9400	9400	RECQL5	9400	RECQL5	ENSG00000108469.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::9487	9487	PIGL	9487	PIGL	ENSG00000108474.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::2584	2584	GALK1	2584	GALK1	ENSG00000108479.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::57508	57508	INTS2	57508	INTS2	ENSG00000108506.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::23125	23125	CAMTA2	23125	CAMTA2	ENSG00000108509.21	protein_coding	False	mapped_by_hgnc_entrez
Gene::9969	9969	MED13	9969	MED13	ENSG00000108510.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::3216	3216	HOXB6	3216	HOXB6	ENSG00000108511.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::2027	2027	ENO3	2027	ENO3	ENSG00000108515.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::5216	5216	PFN1	5216	PFN1	ENSG00000108518.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::26001	26001	RNF167	26001	RNF167	ENSG00000108523.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::8402	8402	SLC25A11	8402	SLC25A11	ENSG00000108528.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::51655	51655	RASD1	51655	RASD1	ENSG00000108551.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::1145	1145	CHRNE	1145	CHRNE	ENSG00000108556.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::10743	10743	RAI1	10743	RAI1	ENSG00000108557.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::4927	4927	NUP88	4927	NUP88	ENSG00000108559.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::708	708	C1QBP	708	C1QBP	ENSG00000108561.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::6532	6532	SLC6A4	6532	SLC6A4	ENSG00000108576.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::642	642	BLMH	642	BLMH	ENSG00000108578.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::1362	1362	CPD	1362	CPD	ENSG00000108582.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::9527	9527	GOSR1	9527	GOSR1	ENSG00000108587.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::57003	57003	CCDC47	57003	CCDC47	ENSG00000108588.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::51003	51003	MED31	51003	MED31	ENSG00000108590.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::1819	1819	DRG2	1819	DRG2	ENSG00000108591.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::117246	117246	FTSJ3	117246	FTSJ3	ENSG00000108592.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::11216	11216	AKAP10	11216	AKAP10	ENSG00000108599.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::218	218	ALDH3A1	218	ALDH3A1	ENSG00000108602.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::6603	6603	SMARCD2	6603	SMARCD2	ENSG00000108604.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::3384	3384	ICAM2	3384	ICAM2	ENSG00000108622.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::9144	9144	SYNGR2	9144	SYNGR2	ENSG00000108639.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::27077	27077	B9D1	27077	B9D1	ENSG00000108641.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::55813	55813	UTP6	55813	UTP6	ENSG00000108651.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::1655	1655	DDX5	1655	DDX5	ENSG00000108654.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::64149	64149	C17orf75	64149	C17orf75	ENSG00000108666.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::9267	9267	CYTH1	9267	CYTH1	ENSG00000108669.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::5717	5717	PSMD11	5717	PSMD11	ENSG00000108671.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::3959	3959	LGALS3BP	3959	LGALS3BP	ENSG00000108679.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::40	40	ASIC2	40	ASIC2	ENSG00000108684.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::6354	6354	CCL7	6354	CCL7	ENSG00000108688.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::6347	6347	CCL2	6347	CCL2	ENSG00000108691.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::6355	6355	CCL8	6355	CCL8	ENSG00000108700.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::6346	6346	CCL1	6346	CCL1	ENSG00000108702.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::5193	5193	PEX12	5193	PEX12	ENSG00000108733.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::3882	3882	KRT32	3882	KRT32	ENSG00000108759.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::79132	79132	DHX58	79132	DHX58	ENSG00000108771.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::2648	2648	KAT2A	2648	KAT2A	ENSG00000108773.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::5878	5878	RAB5C	5878	RAB5C	ENSG00000108774.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::4669	4669	NAGLU	4669	NAGLU	ENSG00000108784.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::3292	3292	HSD17B1	3292	HSD17B1	ENSG00000108786.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::6945	6945	MLX	6945	MLX	ENSG00000108788.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::8506	8506	CNTNAP1	8506	CNTNAP1	ENSG00000108797.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::51225	51225	ABI3	51225	ABI3	ENSG00000108798.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::2145	2145	EZH1	2145	EZH1	ENSG00000108799.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::1748	1748	DLX4	1748	DLX4	ENSG00000108813.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::84687	84687	PPP1R9B	84687	PPP1R9B	ENSG00000108819.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::1277	1277	COL1A1	1277	COL1A1	ENSG00000108821.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::6442	6442	SGCA	6442	SGCA	ENSG00000108823.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::100885850	100885850	PTGES3L-AARSD1	100885850	PTGES3L-AARSD1	ENSG00000108825.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::51264	51264	MRPL27	51264	MRPL27	ENSG00000108826.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::10493	10493	VAT1	10493	VAT1	ENSG00000108828.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::55379	55379	LRRC59	55379	LRRC59	ENSG00000108829.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::8153	8153	RND2	8153	RND2	ENSG00000108830.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::239	239	ALOX12	239	ALOX12	ENSG00000108839.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::10014	10014	HDAC5	10014	HDAC5	ENSG00000108840.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::8714	8714	ABCC3	8714	ABCC3	ENSG00000108846.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::51747	51747	LUC7L3	51747	LUC7L3	ENSG00000108848.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::5539	5539	PPY	5539	PPY	ENSG00000108849.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::4355	4355	MPP2	4355	MPP2	ENSG00000108852.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::64750	64750	SMURF2	64750	SMURF2	ENSG00000108854.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::1845	1845	DUSP3	1845	DUSP3	ENSG00000108861.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::786	786	CACNG1	786	CACNG1	ENSG00000108878.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::9343	9343	EFTUD2	9343	EFTUD2	ENSG00000108883.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::3131	3131	HLF	3131	HLF	ENSG00000108924.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::9120	9120	SLC16A6	9120	SLC16A6	ENSG00000108932.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::5573	5573	PRKAR1A	5573	PRKAR1A	ENSG00000108946.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::1949	1949	EFNB3	1949	EFNB3	ENSG00000108947.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::54757	54757	FAM20A	54757	FAM20A	ENSG00000108950.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::7531	7531	YWHAE	7531	YWHAE	ENSG00000108953.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::23531	23531	MMD	23531	MMD	ENSG00000108960.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::29098	29098	RANGRF	29098	RANGRF	ENSG00000108961.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::1801	1801	DPH1	1801	DPH1	ENSG00000108963.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::5608	5608	MAP2K6	5608	MAP2K6	ENSG00000108984.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::25979	25979	DHRS7B	25979	DHRS7B	ENSG00000109016.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::26118	26118	WSB1	26118	WSB1	ENSG00000109046.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::5957	5957	RCVRN	5957	RCVRN	ENSG00000109047.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::4619	4619	MYH1	4619	MYH1	ENSG00000109061.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::9368	9368	SLC9A3R1	9368	NHERF1	ENSG00000109062.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::4621	4621	MYH3	4621	MYH3	ENSG00000109063.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::26151	26151	NAT9	26151	NAT9	ENSG00000109065.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::54868	54868	TMEM104	54868	SLC38A12	ENSG00000109066.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::7448	7448	VTN	7448	VTN	ENSG00000109072.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::7126	7126	TNFAIP1	7126	TNFAIP1	ENSG00000109079.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::90410	90410	IFT20	90410	IFT20	ENSG00000109083.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::27346	27346	TMEM97	27346	TMEM97	ENSG00000109084.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::30850	30850	CDR2L	30850	CDR2L	ENSG00000109089.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::5376	5376	PMP22	5376	PMP22	ENSG00000109099.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::8456	8456	FOXN1	8456	FOXN1	ENSG00000109101.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::9094	9094	UNC119	9094	UNC119	ENSG00000109103.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::230	230	ALDOC	230	ALDOC	ENSG00000109107.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::6830	6830	SUPT6H	6830	SUPT6H	ENSG00000109111.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::83871	83871	RAB34	83871	RAB34	ENSG00000109113.20	protein_coding	False	mapped_by_hgnc_entrez
Gene::57649	57649	PHF12	57649	PHF12	ENSG00000109118.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::8929	8929	PHOX2B	8929	PHOX2B	ENSG00000109132.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::55161	55161	TMEM33	55161	TMEM33	ENSG00000109133.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::2557	2557	GABRA4	2557	GABRA4	ENSG00000109158.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::2798	2798	GNRHR	2798	GNRHR	ENSG00000109163.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::57606	57606	SLAIN2	57606	SLAIN2	ENSG00000109171.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::54940	54940	OCIAD1	54940	OCIAD1	ENSG00000109180.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::7365	7365	UGT2B10	7365	UGT2B10	ENSG00000109181.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::80157	80157	CWH43	80157	CWH43	ENSG00000109182.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::23142	23142	DCUN1D4	23142	DCUN1D4	ENSG00000109184.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::64854	64854	USP46	64854	USP46	ENSG00000109189.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::6783	6783	SULT1E1	6783	SULT1E1	ENSG00000109193.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::54959	54959	ODAM	54959	ODAM	ENSG00000109205.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::26952	26952	SMR3A	26952	SMR3A	ENSG00000109208.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::26511	26511	CHIC2	26511	CHIC2	ENSG00000109220.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::10874	10874	NMU	10874	NMU	ENSG00000109255.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::57482	57482	KIAA1211	57482	CRACD	ENSG00000109265.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::8649	8649	LAMTOR3	8649	LAMTOR3	ENSG00000109270.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::5197	5197	PF4V1	5197	PF4V1	ENSG00000109272.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::4790	4790	NFKB1	4790	NFKB1	ENSG00000109320.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::374	374	AREG	374	AREG	ENSG00000109321.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::4126	4126	MANBA	4126	MANBA	ENSG00000109323.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::7323	7323	UBE2D3	7323	UBE2D3	ENSG00000109332.20	protein_coding	False	mapped_by_hgnc_entrez
Gene::5602	5602	MAPK10	5602	MAPK10	ENSG00000109339.24	protein_coding	False	mapped_by_hgnc_entrez
Gene::1998	1998	ELF2	1998	ELF2	ENSG00000109381.20	protein_coding	False	mapped_by_hgnc_entrez
Gene::4717	4717	NDUFC1	4717	NDUFC1	ENSG00000109390.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::7350	7350	UCP1	7350	UCP1	ENSG00000109424.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::23158	23158	TBC1D9	23158	TBC1D9	ENSG00000109436.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::27309	27309	ZNF330	27309	NOAZFP	ENSG00000109445.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::8821	8821	INPP4B	8821	INPP4B	ENSG00000109452.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::2549	2549	GAB1	2549	GAB1	ENSG00000109458.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::11275	11275	KLHL2	11275	KLHL2	ENSG00000109466.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::3558	3558	IL2	3558	IL2	ENSG00000109471.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::1363	1363	CPE	1363	CPE	ENSG00000109472.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::6164	6164	RPL34	6164	RPL34	ENSG00000109475.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::7466	7466	WFS1	7466	WFS1	ENSG00000109501.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::11199	11199	ANXA10	11199	ANXA10	ENSG00000109511.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::80273	80273	GRPEL1	80273	GRPEL1	ENSG00000109519.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::54433	54433	GAR1	54433	GAR1	ENSG00000109534.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::2483	2483	FRG1	2483	FRG1	ENSG00000109536.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::1182	1182	CLCN3	1182	CLCN3	ENSG00000109572.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::51166	51166	AADAT	51166	AADAT	ENSG00000109576.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::51809	51809	GALNT7	51809	GALNT7	ENSG00000109586.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::1665	1665	DHX15	1665	DHX15	ENSG00000109606.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::6649	6649	SOD3	6649	SOD3	ENSG00000109610.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::51091	51091	SEPSECS	51091	SEPSECS	ENSG00000109618.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::8532	8532	CPZ	8532	CPZ	ENSG00000109625.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::23321	23321	TRIM2	23321	TRIM2	ENSG00000109654.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::56606	56606	SLC2A9	56606	SLC2A9	ENSG00000109667.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::55294	55294	FBXW7	55294	FBXW7	ENSG00000109670.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::55247	55247	NEIL3	55247	NEIL3	ENSG00000109674.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::55296	55296	TBC1D19	55296	TBC1D19	ENSG00000109680.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::116449	116449	CLNK	116449	CLNK	ENSG00000109684.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::7468	7468	WHSC1	7468	NSD2	ENSG00000109685.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::152503	152503	SH3D19	152503	SH3D19	ENSG00000109686.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::57620	57620	STIM2	57620	STIM2	ENSG00000109689.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::579	579	NKX3-2	579	NKX3-2	ENSG00000109705.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::10227	10227	MFSD10	10227	SLC75A1	ENSG00000109736.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::2743	2743	GLRB	2743	GLRB	ENSG00000109738.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::683	683	BST1	683	BST1	ENSG00000109743.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::9693	9693	RAPGEF2	9693	RAPGEF2	ENSG00000109756.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::3083	3083	HGFAC	3083	HGFAC	ENSG00000109758.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::83891	83891	SNX25	83891	SNX25	ENSG00000109762.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::55805	55805	LRP2BP	55805	LRP2BP	ENSG00000109771.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::55325	55325	UFSP2	55325	UFSP2	ENSG00000109775.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::51274	51274	KLF3	51274	KLF3	ENSG00000109787.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::51088	51088	KLHL5	51088	KLHL5	ENSG00000109790.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::25854	25854	FAM149A	25854	FAM149A	ENSG00000109794.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::64151	64151	NCAPG	64151	NCAPG	ENSG00000109805.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::7358	7358	UGDH	7358	UGDH	ENSG00000109814.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::10891	10891	PPARGC1A	10891	PPARGC1A	ENSG00000109819.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::29118	29118	DDX25	29118	DDX25	ENSG00000109832.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::1410	1410	CRYAB	1410	CRYAB	ENSG00000109846.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::120237	120237	DBX1	120237	DBX1	ENSG00000109851.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::10553	10553	HTATIP2	10553	HTATIP2	ENSG00000109854.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::1075	1075	CTSC	1075	CTSC	ENSG00000109861.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::91057	91057	CCDC34	91057	CCDC34	ENSG00000109881.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::7704	7704	ZBTB16	7704	ZBTB16	ENSG00000109906.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::26610	26610	ELP4	26610	ELP4	ENSG00000109911.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::8882	8882	ZPR1	8882	ZPR1	ENSG00000109917.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::23788	23788	MTCH2	23788	MTCH2	ENSG00000109919.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::23360	23360	FNBP4	23360	FNBP4	ENSG00000109920.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::7007	7007	TECTA	7007	TECTA	ENSG00000109927.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::6309	6309	SC5D	6309	SC5D	ENSG00000109929.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::56253	56253	CRTAM	56253	CRTAM	ENSG00000109943.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::79864	79864	C11orf63	79864	JHY	ENSG00000109944.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::27087	27087	B3GAT1	27087	B3GAT1	ENSG00000109956.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::3312	3312	HSPA8	3312	HSPA8	ENSG00000109971.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::5024	5024	P2RX3	5024	P2RX3	ENSG00000109991.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::4013	4013	VWA5A	4013	VWA5A	ENSG00000110002.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::3338	3338	DNAJC4	3338	DNAJC4	ENSG00000110011.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::54414	54414	SIAE	54414	SIAE	ENSG00000110013.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::29907	29907	SNX15	29907	SNX15	ENSG00000110025.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::9404	9404	LPXN	9404	LPXN	ENSG00000110031.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::23220	23220	DTX4	23220	DTX4	ENSG00000110042.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::23130	23130	ATG2A	23130	ATG2A	ENSG00000110046.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::10938	10938	EHD1	10938	EHD1	ENSG00000110047.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::5007	5007	OSBP	5007	OSBP	ENSG00000110048.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::81622	81622	UNC93B1	81622	UNC93B1	ENSG00000110057.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::83480	83480	PUS3	83480	PUS3	ENSG00000110060.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::28960	28960	DCPS	28960	DCPS	ENSG00000110063.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::51111	51111	SUV420H1	51111	KMT5B	ENSG00000110066.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::55572	55572	FOXRED1	55572	FOXRED1	ENSG00000110074.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::55291	55291	PPP6R3	55291	PPP6R3	ENSG00000110075.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::9379	9379	NRXN2	9379	NRXN2	ENSG00000110076.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::64231	64231	MS4A6A	64231	MS4A6A	ENSG00000110077.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::51338	51338	MS4A4A	51338	MS4A4A	ENSG00000110079.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::6484	6484	ST3GAL4	6484	ST3GAL4	ENSG00000110080.20	protein_coding	False	mapped_by_hgnc_entrez
Gene::1374	1374	CPT1A	1374	CPT1A	ENSG00000110090.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::595	595	CCND1	595	CCND1	ENSG00000110092.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::79080	79080	CCDC86	79080	CCDC86	ENSG00000110104.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::27339	27339	PRPF19	27339	PRPF19	ENSG00000110107.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::79073	79073	TMEM109	79073	TMEM109	ENSG00000110108.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::887	887	CCKBR	887	CCKBR	ENSG00000110148.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::3263	3263	HPX	3263	HPX	ENSG00000110169.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::10612	10612	TRIM3	10612	TRIM3	ENSG00000110171.20	protein_coding	False	mapped_by_hgnc_entrez
Gene::26973	26973	CHORDC1	26973	CHORDC1	ENSG00000110172.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::2348	2348	FOLR1	2348	FOLR1	ENSG00000110195.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::25906	25906	ANAPC15	25906	ANAPC15	ENSG00000110200.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::2352	2352	FOLR3	2352	FOLR3	ENSG00000110203.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::24145	24145	PANX1	24145	PANX1	ENSG00000110218.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::9828	9828	ARHGEF17	9828	ARHGEF17	ENSG00000110237.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::116519	116519	APOA5	116519	APOA5	ENSG00000110243.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::337	337	APOA4	337	APOA4	ENSG00000110244.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::345	345	APOC3	345	APOC3	ENSG00000110245.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::22897	22897	CEP164	22897	CEP164	ENSG00000110274.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::50862	50862	RNF141	50862	RNF141	ENSG00000110315.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::57562	57562	CEP126	57562	CEP126	ENSG00000110318.15	protein_coding	False	mapped_by_hgnc_entrez
