hetionet_gene_id	entrez_id	hetionet_name	current_hgnc_symbol	reason
Gene::100130761	100130761	LOC100130761		entrez_not_in_current_hgnc
Gene::100130778	100130778	LOC100130778		entrez_not_in_current_hgnc
Gene::100130817	100130817	LOC100130817		entrez_not_in_current_hgnc
Gene::100130857	100130857	LOC100130857		entrez_not_in_current_hgnc
Gene::100130865	100130865	LOC100130865		entrez_not_in_current_hgnc
Gene::100130920	100130920	LOC100130920		entrez_not_in_current_hgnc
Gene::100130927	100130927	LOC100130927		entrez_not_in_current_hgnc
Gene::100130976	100130976	LOC100130976		entrez_not_in_current_hgnc
Gene::100131000	100131000	LOC100131000		entrez_not_in_current_hgnc
Gene::100131004	100131004	LOC100131004		entrez_not_in_current_hgnc
Gene::100131032	100131032	LOC100131032		entrez_not_in_current_hgnc
Gene::100131034	100131034	LOC100131034		entrez_not_in_current_hgnc
Gene::100131099	100131099	LOC100131099		entrez_not_in_current_hgnc
Gene::100131101	100131101	LOC100131101		entrez_not_in_current_hgnc
Gene::100131107	100131107	LOC100131107		entrez_not_in_current_hgnc
Gene::100131129	100131129	LOC100131129		entrez_not_in_current_hgnc
Gene::100131150	100131150	LOC100131150		entrez_not_in_current_hgnc
Gene::100131170	100131170	LOC100131170		entrez_not_in_current_hgnc
Gene::100131190	100131190	LOC100131190		entrez_not_in_current_hgnc
Gene::100131195	100131195	LOC100131195		entrez_not_in_current_hgnc
Gene::100131242	100131242	LOC100131242		entrez_not_in_current_hgnc
Gene::100131310	100131310	LOC100131310		entrez_not_in_current_hgnc
Gene::100131355	100131355	LOC100131355		entrez_not_in_current_hgnc
Gene::100131581	100131581	LOC100131581		entrez_not_in_current_hgnc
Gene::100131599	100131599	LOC100131599		entrez_not_in_current_hgnc
Gene::100131654	100131654	LOC100131654		entrez_not_in_current_hgnc
Gene::100131719	100131719	LOC100131719		entrez_not_in_current_hgnc
Gene::100131820	100131820	LOC100131820		entrez_not_in_current_hgnc
Gene::100131821	100131821	LOC100131821		entrez_not_in_current_hgnc
Gene::100131822	100131822	LOC100131822		entrez_not_in_current_hgnc
Gene::100131829	100131829	LOC100131829		entrez_not_in_current_hgnc
Gene::100131840	100131840	LOC100131840		entrez_not_in_current_hgnc
Gene::100131860	100131860	LOC100131860		entrez_not_in_current_hgnc
Gene::100131864	100131864	LOC100131864		entrez_not_in_current_hgnc
Gene::100131878	100131878	LOC100131878		entrez_not_in_current_hgnc
Gene::100131894	100131894	LOC100131894		entrez_not_in_current_hgnc
Gene::100131907	100131907	LOC100131907		entrez_not_in_current_hgnc
Gene::100132004	100132004	LOC100132004		entrez_not_in_current_hgnc
Gene::100132006	100132006	LOC100132006		entrez_not_in_current_hgnc
Gene::100132025	100132025	LOC100132025		entrez_not_in_current_hgnc
Gene::100132069	100132069	LOC100132069		entrez_not_in_current_hgnc
Gene::100132071	100132071	LOC100132071		entrez_not_in_current_hgnc
Gene::100132197	100132197	LOC100132197		entrez_not_in_current_hgnc
Gene::100132257	100132257	LOC100132257		entrez_not_in_current_hgnc
Gene::100132285	100132285	KIR2DS2	KIR2DS2	no_kirc_feature_for_this_gene
Gene::100132363	100132363	LOC100132363		entrez_not_in_current_hgnc
Gene::100132365	100132365	LOC100132365		entrez_not_in_current_hgnc
Gene::100132418	100132418	LOC100132418		entrez_not_in_current_hgnc
Gene::100132439	100132439	FAM27E4		entrez_not_in_current_hgnc
Gene::100132474	100132474	LOC100132474		entrez_not_in_current_hgnc
Gene::100132495	100132495	LOC100132495		entrez_not_in_current_hgnc
Gene::100132731	100132731	LOC100132731		entrez_not_in_current_hgnc
Gene::100132800	100132800	LOC100132800		entrez_not_in_current_hgnc
Gene::100132874	100132874	LOC100132874		entrez_not_in_current_hgnc
Gene::100133130	100133130	LOC100133130		entrez_not_in_current_hgnc
Gene::100133145	100133145	LOC100133145		entrez_not_in_current_hgnc
Gene::100133301	100133301	FAM231B		entrez_not_in_current_hgnc
Gene::100133790	100133790	MUC3		entrez_not_in_current_hgnc
Gene::100134240	100134240	LOC100134240		entrez_not_in_current_hgnc
Gene::100134301	100134301	LOC100134301		entrez_not_in_current_hgnc
Gene::100134391	100134391	LOC100134391		entrez_not_in_current_hgnc
Gene::100144878	100144878	LRRC53		merged_into_linked_node:Gene::105378803
Gene::100187907	100187907	TRAP		entrez_not_in_current_hgnc
Gene::100192455	100192455	FASA		entrez_not_in_current_hgnc
Gene::100287036	100287036	LOC100287036		entrez_not_in_current_hgnc
Gene::100287290	100287290	LOC100287290		entrez_not_in_current_hgnc
Gene::100287294	100287294	LOC100287294		entrez_not_in_current_hgnc
Gene::100287387	100287387	LOC100287387		entrez_not_in_current_hgnc
Gene::100287477	100287477	LOC100287477		entrez_not_in_current_hgnc
Gene::100287823	100287823	LOC100287823		entrez_not_in_current_hgnc
Gene::100287979	100287979	TTTY13C		entrez_not_in_current_hgnc
Gene::100288315	100288315	LOC100288315		entrez_not_in_current_hgnc
Gene::100288336	100288336	LOC100288336		entrez_not_in_current_hgnc
Gene::100288465	100288465	FAM197Y10		entrez_not_in_current_hgnc
Gene::100288524	100288524	WI2-2373I1.2	FOXL3-OT1	no_kirc_feature_for_this_gene
Gene::100288562	100288562	LOC100288562		entrez_not_in_current_hgnc
Gene::100288675	100288675	LOC100288675		entrez_not_in_current_hgnc
Gene::100288908	100288908	LOC100288908		entrez_not_in_current_hgnc
Gene::100288966	100288966	LOC100288966		entrez_not_in_current_hgnc
Gene::100289009	100289009	LOC100289009		entrez_not_in_current_hgnc
Gene::100289058	100289058	LOC100289058		entrez_not_in_current_hgnc
Gene::100289151	100289151	DCLRE1CP1		merged_into_linked_node:Gene::105376432
Gene::100289265	100289265	FAM197Y1		entrez_not_in_current_hgnc
Gene::100289269	100289269	LOC100289269		entrez_not_in_current_hgnc
Gene::100289561	100289561	LOC100289561		entrez_not_in_current_hgnc
Gene::100291323	100291323	LOC100291323		entrez_not_in_current_hgnc
Gene::100293534	100293534	C4B_2	C4B_2	no_kirc_feature_for_this_gene
Gene::100293704	100293704	LOC100293704		entrez_not_in_current_hgnc
Gene::100294341	100294341	LOC100294341		entrez_not_in_current_hgnc
Gene::100294391	100294391	LOC100294391		entrez_not_in_current_hgnc
Gene::100302652	100302652	GPR75-ASB3	GPR75-ASB3	no_kirc_feature_for_this_gene
Gene::100505502	100505502	LOC100505502		entrez_not_in_current_hgnc
Gene::100505555	100505555	LOC100505555		entrez_not_in_current_hgnc
Gene::100506217	100506217	LOC100506217		entrez_not_in_current_hgnc
Gene::100506242	100506242	LOC100506242		entrez_not_in_current_hgnc
Gene::100506514	100506514	LOC100506514		entrez_not_in_current_hgnc
Gene::100506562	100506562	LOC100506562		entrez_not_in_current_hgnc
Gene::100506627	100506627	DCDC5		entrez_not_in_current_hgnc
Gene::100506650	100506650	C17orf112		entrez_not_in_current_hgnc
Gene::100506667	100506667	LOC100506667		entrez_not_in_current_hgnc
Gene::100506718	100506718	LOC100506718		entrez_not_in_current_hgnc
Gene::100506944	100506944	LOC100506944		entrez_not_in_current_hgnc
Gene::100507221	100507221	LOC100507221		entrez_not_in_current_hgnc
Gene::100507483	100507483	LOC100507483		entrez_not_in_current_hgnc
Gene::100507494	100507494	LOC100507494		entrez_not_in_current_hgnc
Gene::100507703	100507703	LOC100507703		entrez_not_in_current_hgnc
Gene::100508689	100508689	LOC100508689		entrez_not_in_current_hgnc
Gene::100509072	100509072	LOC100509072		entrez_not_in_current_hgnc
Gene::100509091	100509091	LOC100509091		entrez_not_in_current_hgnc
Gene::100526832	100526832	PHOSPHO2-KLHL23		entrez_not_in_current_hgnc
Gene::100529141	100529141	LGTN	LGTN	no_kirc_feature_for_this_gene
Gene::100532727	100532727	DDX11L12		entrez_not_in_current_hgnc
Gene::100533183	100533183	ZNF664-FAM101A		entrez_not_in_current_hgnc
Gene::100533997	100533997	MAGEA10-MAGEA5		entrez_not_in_current_hgnc
Gene::100534012	100534012	TNFAIP8L2-SCNM1		entrez_not_in_current_hgnc
Gene::100652758	100652758	LOC100652758		entrez_not_in_current_hgnc
Gene::100652775	100652775	HP11026		entrez_not_in_current_hgnc
Gene::100652807	100652807	LOC100652807		entrez_not_in_current_hgnc
Gene::100652833	100652833	LOC100652833		entrez_not_in_current_hgnc
Gene::100652871	100652871	LOC100652871		entrez_not_in_current_hgnc
Gene::100652894	100652894	LOC100652894		entrez_not_in_current_hgnc
Gene::100652901	100652901	LOC100652901		entrez_not_in_current_hgnc
Gene::100653049	100653049	LOC100653049		entrez_not_in_current_hgnc
Gene::100653061	100653061	LOC100653061		entrez_not_in_current_hgnc
Gene::100861437	100861437	NARR		entrez_not_in_current_hgnc
Gene::100862847	100862847	USP17L		entrez_not_in_current_hgnc
Gene::100887824	100887824	DDX11L11	DDX11L11	no_kirc_feature_for_this_gene
Gene::100913187	100913187	APOBEC3A_B	APOBEC3A_B	no_kirc_feature_for_this_gene
Gene::100996273	100996273	LOC100996273		entrez_not_in_current_hgnc
Gene::100996274	100996274	LOC100996274		entrez_not_in_current_hgnc
Gene::100996318	100996318	LOC100996318		entrez_not_in_current_hgnc
Gene::100996337	100996337	LOC100996337		entrez_not_in_current_hgnc
