ensembl_id	gene_symbol	entrez_id	hetionet_gene_id	hetionet_gene_symbol	mapping_status
ENSG00000198833	UBE2J1	51465	Gene::51465	UBE2J1	mapped
ENSG00000196405	EVL	51466	Gene::51466	EVL	mapped
ENSG00000156973	PDE6D	5147	Gene::5147	PDE6D	mapped
ENSG00000204872	NAT8B	51471	Gene::51471	NAT8B	mapped
ENSG00000146038	DCDC2	51473	Gene::51473	DCDC2	mapped
ENSG00000050405	LIMA1	51474	Gene::51474	LIMA1	mapped
ENSG00000167791	CABP2	51475	Gene::51475	CABP2	mapped
ENSG00000105655	ISYNA1	51477	Gene::51477	ISYNA1	mapped
ENSG00000132196	HSD17B7	51478	Gene::51478	HSD17B7	mapped
ENSG00000185722	ANKFY1	51479	Gene::51479	ANKFY1	mapped
ENSG00000185527	PDE6G	5148	Gene::5148	PDE6G	mapped
ENSG00000177504	VCX2	51480	Gene::51480	VCX2	mapped
ENSG00000169059	VCX3A	51481	Gene::51481	VCX3A	mapped
ENSG00000139053	PDE6H	5149	Gene::5149	PDE6H	mapped
ENSG00000198917	SPOUT1	51490	Gene::51490	C9orf114	mapped
ENSG00000048162	NOP16	51491	Gene::51491	NOP16	mapped
ENSG00000100220	RTCB	51493	Gene::51493	RTCB	mapped
ENSG00000074696	HACD3	51495	Gene::51495	HACD3	mapped
ENSG00000137770	CTDSPL2	51496	Gene::51496	CTDSPL2	mapped
ENSG00000101158	NELFCD	51497	Gene::51497	NELFCD	mapped
ENSG00000170855	TRIAP1	51499	Gene::51499	TRIAP1	mapped
ENSG00000116459	ATP5PB	515	Gene::515	ATP5F1	mapped
ENSG00000205268	PDE7A	5150	Gene::5150	PDE7A	mapped
ENSG00000149196	HIKESHI	51501	Gene::51501	C11orf73	mapped
ENSG00000150316	CWC15	51503	Gene::51503	CWC15	mapped
ENSG00000173113	TRMT112	51504	Gene::51504	TRMT112	mapped
ENSG00000143222	UFC1	51506	Gene::51506	UFC1	mapped
ENSG00000022277	RTF2	51507	Gene::51507	RTFDC1	mapped
ENSG00000073417	PDE8A	5151	Gene::5151	PDE8A	mapped
ENSG00000086065	CHMP5	51510	Gene::51510	CHMP5	mapped
ENSG00000075218	GTSE1	51512	Gene::51512	GTSE1	mapped
ENSG00000010030	ETV7	51513	Gene::51513	ETV7	mapped
ENSG00000143476	DTL	51514	Gene::51514	DTL	mapped
ENSG00000213672	NCKIPSD	51517	Gene::51517	NCKIPSD	mapped
ENSG00000160191	PDE9A	5152	Gene::5152	PDE9A	mapped
ENSG00000133706	LARS1	51520	Gene::51520	LARS	mapped
ENSG00000111843	TMEM14C	51522	Gene::51522	TMEM14C	mapped
ENSG00000171604	CXXC5	51523	Gene::51523	CXXC5	mapped
ENSG00000149483	TMEM138	51524	Gene::51524	TMEM138	mapped
ENSG00000132823	OSER1	51526	Gene::51526	OSER1	mapped
ENSG00000100744	GSKIP	51527	Gene::51527	GSKIP	mapped
ENSG00000050130	JKAMP	51528	Gene::51528	JKAMP	mapped
ENSG00000141552	ANAPC11	51529	Gene::51529	ANAPC11	mapped
ENSG00000123360	PDE1B	5153	Gene::5153	PDE1B	mapped
ENSG00000091732	ZC3HC1	51530	Gene::51530	ZC3HC1	mapped
ENSG00000136932	TRMO	51531	Gene::51531	C9orf156	mapped
ENSG00000010318	PHF7	51533	Gene::51533	PHF7	mapped
ENSG00000009844	VTA1	51534	Gene::51534	VTA1	mapped
ENSG00000134283	PPHLN1	51535	Gene::51535	PPHLN1	mapped
ENSG00000242114	MTFP1	51537	Gene::51537	MTFP1	mapped
ENSG00000121766	ZCCHC17	51538	Gene::51538	ZCCHC17	mapped
ENSG00000197461	PDGFA	5154	Gene::5154	PDGFA	mapped
ENSG00000132330	SCLY	51540	Gene::51540	SCLY	mapped
